SalesOrderID,TotalRevenue
43659,23153.2339
43660,1457.3288
43661,36865.8012
43662,32474.9324
43663,472.3108
43664,27510.4109
43665,16158.6961
43666,5694.8564
43667,6876.3649
43668,40487.7233
43669,807.2585
43670,6893.2549
43671,9153.6054
43672,6895.41
43673,4216.0258
43674,2955.0542
43675,6434.0848
43676,15992.7446
43677,8773.681
43678,11036.3964
43679,1481.1742
43680,12832.9009
43681,15524.0686
43682,4363.7107
43683,48204.0662
43684,6301.6258
43685,3082.0191
43686,3899.6756
43687,1416.9322
43688,14323.1194
43689,38291.2063
43690,1460.6061
43691,985.018
43692,43362.4196
43693,23126.45
43694,23242.1865
43695,44344.8265
43696,472.3108
43697,3953.9884
43698,3756.989
43699,3756.989
43700,772.5036
43701,3756.989
43702,3953.9884
43703,3953.9884
43704,3729.364
43705,3756.989
43706,3953.9884
43707,3953.9884
43708,772.5036
43709,3953.9884
43710,3953.9884
43711,3953.9884
43712,3953.9884
43713,3953.9884
43714,3953.9884
43715,3953.9884
43716,3953.9884
43717,772.5036
43718,3953.9884
43719,3953.9884
43720,3953.9884
43721,3953.9884
43722,3953.9884
43723,772.5036
43724,3953.9884
43725,3953.9884
43726,772.5036
43727,3953.9884
43728,3953.9884
43729,3756.989
43730,3756.989
43731,3953.9884
43732,3729.364
43733,3953.9884
43734,3953.9884
43735,3953.9884
43736,3756.989
43737,3953.9884
43738,3953.9884
43739,3953.9884
43740,3953.9884
43741,3953.9884
43742,3953.9884
43743,3756.989
43744,3953.9884
43745,3953.9884
43746,3953.9884
43747,3953.9884
43748,3953.9884
43749,3953.9884
43750,3953.9884
43751,3953.9884
43752,3953.9884
43753,3953.9884
43754,3953.9884
43755,3953.9884
43756,772.5036
43757,3729.364
43758,3953.9884
43759,3953.9884
43760,3953.9884
43761,3953.9884
43762,3953.9884
43763,3953.9884
43764,3953.9884
43765,3756.989
43766,3953.9884
43767,3729.364
43768,3953.9884
43769,3953.9884
43770,3953.9884
43771,772.5036
43772,3953.9884
43773,3953.9884
43774,3953.9884
43775,3756.989
43776,3953.9884
43777,3953.9884
43778,3756.989
43779,772.5036
43780,3953.9884
43781,3953.9884
43782,3953.9884
43783,3953.9884
43784,3953.9884
43785,3953.9884
43786,3953.9884
43787,3756.989
43788,3729.364
43789,3729.364
43790,3756.989
43791,3953.9884
43792,3953.9884
43793,3756.989
43794,3756.989
43795,3953.9884
43796,772.5036
43797,3953.9884
43798,3953.9884
43799,3953.9884
43800,3953.9884
43801,3953.9884
43802,3953.9884
43803,3953.9884
43804,3953.9884
43805,772.5036
43806,3953.9884
43807,3953.9884
43808,3953.9884
43809,3953.9884
43810,3756.989
43811,3756.989
43812,3953.9884
43813,3729.364
43814,3729.364
43815,3953.9884
43816,3953.9884
43817,3953.9884
43818,3953.9884
43819,3756.989
43820,3953.9884
43821,3953.9884
43822,3953.9884
43823,772.5036
43824,772.5036
43825,3953.9884
43826,3729.364
43827,772.5036
43828,3953.9884
43829,3953.9884
43830,3953.9884
43831,3729.364
43832,3953.9884
43833,3953.9884
43834,3729.364
43835,3729.364
43836,772.5036
43837,3729.364
43838,3953.9884
43839,3953.9884
43840,772.5036
43841,3953.9884
43842,3953.9884
43843,37106.2915
43844,22801.4324
43845,9661.1367
43846,1038.5162
43847,1022.9155
43848,20571.9592
43849,23130.2957
43850,11473.9009
43851,7638.8584
43852,2280.1432
43853,29675.6422
43854,1970.036
43855,12382.9248
43856,2292.84
43857,8090.9178
43858,15423.0001
43859,4404.1073
43860,12381.0798
43861,26346.8927
43862,34922.3602
43863,1935.4159
43864,43335.7219
43865,14860.6446
43866,4589.8732
43867,36806.4892
43868,2417.4793
43869,55408.1581
43870,4859.8668
43871,10580.0803
43872,13042.6279
43873,46465.9531
43874,472.3108
43875,137343.2877
43876,8036.8834
43877,23223.5397
43878,4594.0664
43879,24459.114
43880,17433.1351
43881,43706.8175
43882,2280.1432
43883,20634.6499
43884,130416.4829
43885,76.1805
43886,19543.315
43887,472.3108
43888,16255.1776
43889,2344.3852
43890,84686.9878
43891,36672.3922
43892,18627.7044
43893,472.3108
43894,36585.904
43895,36556.8816
43896,4891.9878
43897,57683.2312
43898,57391.4284
43899,13449.1563
43900,38990.6256
43901,25575.00
43902,59486.4175
43903,22.3061
43904,12796.5962
43905,11128.3803
43906,37121.6273
43907,16508.0083
43908,2884.8375
43909,28723.5473
43910,21862.8919
43911,22224.2255
43912,14730.6466
43913,41347.1129
43914,9179.7465
43915,4560.2864
43916,44423.5959
43917,24047.8587
43918,3953.9884
43919,3953.9884
43920,3953.9884
43921,3953.9884
43922,3953.9884
43923,3953.9884
43924,3953.9884
43925,3953.9884
43926,3729.364
43927,3953.9884
43928,3953.9884
43929,772.5036
43930,3953.9884
43931,3953.9884
43932,3953.9884
43933,3756.989
43934,3756.989
43935,772.5036
43936,3953.9884
43937,3953.9884
43938,3953.9884
43939,3953.9884
43940,772.5036
43941,3953.9884
43942,3953.9884
43943,772.5036
43944,3756.989
43945,3953.9884
43946,3953.9884
43947,3953.9884
43948,3756.989
43949,3953.9884
43950,3953.9884
43951,3953.9884
43952,3953.9884
43953,772.5036
43954,3953.9884
43955,3953.9884
43956,3756.989
43957,3953.9884
43958,3953.9884
43959,3729.364
43960,3729.364
43961,3953.9884
43962,3953.9884
43963,3953.9884
43964,3953.9884
43965,3729.364
43966,3756.989
43967,3953.9884
43968,3953.9884
43969,3953.9884
43970,3953.9884
43971,3953.9884
43972,3953.9884
43973,3953.9884
43974,3953.9884
43975,3953.9884
43976,3953.9884
43977,3953.9884
43978,3953.9884
43979,772.5036
43980,3729.364
43981,3953.9884
43982,772.5036
43983,3953.9884
43984,3953.9884
43985,3953.9884
43986,3953.9884
43987,3953.9884
43988,3756.989
43989,3953.9884
43990,3756.989
43991,3953.9884
43992,3953.9884
43993,3953.9884
43994,3953.9884
43995,3953.9884
43996,3953.9884
43997,3953.9884
43998,3729.364
43999,3953.9884
44000,3953.9884
44001,3953.9884
44002,772.5036
44003,772.5036
44004,3953.9884
44005,772.5036
44006,3953.9884
44007,772.5036
44008,3953.9884
44009,3953.9884
44010,3953.9884
44011,3953.9884
44012,3729.364
44013,3953.9884
44014,3953.9884
44015,3953.9884
44016,3729.364
44017,3953.9884
44018,3729.364
44019,3953.9884
44020,3953.9884
44021,3729.364
44022,3953.9884
44023,3729.364
44024,3953.9884
44025,3953.9884
44026,3953.9884
44027,3953.9884
44028,3953.9884
44029,3729.364
44030,3953.9884
44031,3953.9884
44032,3756.989
44033,3953.9884
44034,3953.9884
44035,3953.9884
44036,3953.9884
44037,772.5036
44038,3756.989
44039,772.5036
44040,3729.364
44041,3953.9884
44042,3953.9884
44043,3953.9884
44044,3953.9884
44045,3756.989
44046,3953.9884
44047,3756.989
44048,3953.9884
44049,3953.9884
44050,3953.9884
44051,3953.9884
44052,3953.9884
44053,772.5036
44054,3953.9884
44055,3953.9884
44056,3953.9884
44057,772.5036
44058,3729.364
44059,3953.9884
44060,772.5036
44061,3953.9884
44062,3953.9884
44063,3756.989
44064,3953.9884
44065,3953.9884
44066,3756.989
44067,3953.9884
44068,3953.9884
44069,3729.364
44070,3729.364
44071,3953.9884
44072,3953.9884
44073,3729.364
44074,950.3979
44075,29779.1373
44076,4594.0664
44077,6872.9758
44078,31591.9471
44079,28945.1938
44080,12.6968
44081,42277.1383
44082,2297.0332
44083,1533.1237
44084,9154.353
44085,23244.6509
44086,83091.6136
44087,5641.191
44088,472.3108
44089,2361.5536
44090,7487.8626
44091,5055.9137
44092,4592.0219
44093,12021.9591
44094,4594.0664
44095,47689.0046
44096,9154.353
44097,6796.0326
44098,18431.4595
44099,14074.0241
44100,91512.8507
44101,11030.0547
44102,3955.642
44103,4294.4704
44104,4594.0664
44105,6870.0165
44106,472.3108
44107,18226.9096
44108,2442.3468
44109,15582.1001
44110,18768.2086
44111,13108.5134
44112,36532.9619
44113,45621.2458
44114,37706.6125
44115,75293.7194
44116,22915.4692
44117,14537.294
44118,3859.279
44119,55277.8557
44120,30375.6923
44121,72894.3213
44122,4577.1764
44123,985.018
44124,17387.3963
44125,2931.9869
44126,16060.3046
44127,102525.9874
44128,20874.6359
44129,62725.3407
44130,39881.9747
44131,23095.3463
44132,4560.2864
44133,28927.0463
44134,3953.9884
44135,3953.9884
44136,3953.9884
44137,3953.9884
44138,3953.9884
44139,3953.9884
44140,3953.9884
44141,3953.9884
44142,3953.9884
44143,3953.9884
44144,3953.9884
44145,3953.9884
44146,3953.9884
44147,3953.9884
44148,3953.9884
44149,3953.9884
44150,3953.9884
44151,772.5036
44152,3756.989
44153,3953.9884
44154,3953.9884
44155,3953.9884
44156,3756.989
44157,3953.9884
44158,3953.9884
44159,3953.9884
44160,3953.9884
44161,3953.9884
44162,3953.9884
44163,3953.9884
44164,3953.9884
44165,3953.9884
44166,772.5036
44167,3953.9884
44168,3953.9884
44169,3953.9884
44170,3953.9884
44171,3953.9884
44172,772.5036
44173,3953.9884
44174,3953.9884
44175,3953.9884
44176,3953.9884
44177,3729.364
44178,3953.9884
44179,3729.364
44180,3756.989
44181,3953.9884
44182,3953.9884
44183,3953.9884
44184,3953.9884
44185,3953.9884
44186,3756.989
44187,3953.9884
44188,772.5036
44189,772.5036
44190,3729.364
44191,3953.9884
44192,3953.9884
44193,3953.9884
44194,3953.9884
44195,3953.9884
44196,3953.9884
44197,3953.9884
44198,3953.9884
44199,3953.9884
44200,3953.9884
44201,3953.9884
44202,3953.9884
44203,3953.9884
44204,772.5036
44205,3953.9884
44206,3756.989
44207,3953.9884
44208,3756.989
44209,3953.9884
44210,3953.9884
44211,3953.9884
44212,3953.9884
44213,3953.9884
44214,3953.9884
44215,3953.9884
44216,3953.9884
44217,3953.9884
44218,3953.9884
44219,772.5036
44220,3756.989
44221,3953.9884
44222,3953.9884
44223,3953.9884
44224,3953.9884
44225,772.5036
44226,3953.9884
44227,3729.364
44228,3756.989
44229,3756.989
44230,3953.9884
44231,772.5036
44232,3953.9884
44233,3953.9884
44234,3953.9884
44235,3953.9884
44236,3953.9884
44237,3953.9884
44238,3953.9884
44239,3953.9884
